,"[2,1]","[3,1]","[3,2]","[4,1]","[4,2]","[4,3]"
900,0,0,3,0,0,0
901,0,0,1,0,0,0
902,0,0,5,0,20,5
903,0,0,3,0,1,0
904,0,0,3,0,0,0
905,0,3,3,1,1,0
906,0,0,0,0,0,6
907,1,3,1,0,0,0
908,0,2,2,3,3,0
909,0,0,4,0,6,0
910,0,6,6,18,18,0
911,1,6,9,1,2,1
912,1,2,0,12,0,9
913,3,4,0,11,0,0
914,1,0,0,12,7,17
915,0,0,0,0,35,67
916,1,9,0,4,0,0
917,1,3,2,1,28,32
918,0,0,7,0,3,0
919,1,3,2,21,4,0
920,1,1,1,1,0,1
921,0,0,1,0,0,25
922,0,0,3,0,0,0
923,0,0,2,0,3,3
924,0,3,3,8,8,9
925,0,0,2,0,15,0
926,1,3,1,2,4,4
927,1,3,3,9,20,0
928,0,2,2,5,3,2
929,1,4,2,12,9,8
930,0,0,1,0,0,0
931,1,1,1,10,2,10
932,0,0,3,0,4,3
933,1,1,0,15,0,21
934,0,0,2,0,3,5
935,2,1,0,2,0,0
936,0,0,2,0,2,3
937,0,0,0,0,0,0
938,0,0,1,0,8,7
939,0,0,0,4,4,4
940,0,0,2,0,1,1
941,0,0,2,0,4,0
942,0,0,0,0,0,0
943,0,0,0,0,3,7
944,0,0,0,0,0,10
945,2,6,0,8,0,0
946,0,5,5,9,9,7
947,2,2,1,4,3,15
948,1,6,5,2,6,0
949,1,3,6,0,29,0
950,2,10,0,7,0,0
951,1,2,0,4,5,5
952,0,3,3,1,1,0
953,2,1,0,18,0,18
954,1,3,5,1,15,10
955,1,3,3,7,2,7
956,2,1,0,8,0,46
957,2,2,1,15,8,13
958,0,0,5,0,9,0
959,1,4,4,1,1,0
960,0,0,3,0,1,2
961,0,0,0,0,0,13
962,2,1,3,1,6,9
963,2,0,0,8,0,17
964,0,0,7,0,10,0
965,2,2,0,1,0,0
966,0,0,0,0,0,17
967,0,1,1,2,1,1
968,0,2,2,7,8,4
969,1,1,1,0,0,0
970,0,3,3,1,1,0
971,0,0,0,0,0,3
972,1,1,1,6,5,6
973,1,0,0,5,4,7
974,2,0,5,12,4,16
975,0,0,5,0,6,0
976,0,0,2,0,3,26
977,1,1,2,0,2,1
978,2,0,0,27,27,65
979,0,0,1,0,25,0
